Transaction_ID,Date,Customer_Name,Product_Category,Amount_USD,Status,Customer_Email,job_provider
1001,2025-02-21,Alice Mwangi,cloud storage,4288.81,Completed,user0@example.com,google
1002,2025-01-15,Alice Mwangi,cloud storage,2052.32,Cancelled,user1@example.com,Google Inc.
1003,2025-03-13,Alice Mwangi,cloud storage,4444.46,Pending,user2@example.com,Google Inc.
1004,2025-03-02,David K.,cloud storage,4262.1,Completed,user3@example.com,google
1005,2025-01-21,Catherine J.,cloud storage,,Pending,user4@example.com,Microsoft 
1006,2025-03-24,Catherine J.,cloud storage,3937.44,Cancelled,user5@example.com,  Amazon
1007,2025-03-28,Alice Mwangi,Web Hosting,3361.49,Cancelled,user6@example.com,
1008,2025-03-16,Catherine J.,Software License,2924.4,Cancelled,user7@example.com,Google Inc.
1009,2025-03-16,Catherine J.,Cloud Storage,1892.8,Completed,user8@example.com,
1010,2025-03-29,Alice Mwangi,Cloud Storage,4703.66,Pending,user9@example.com,Upwork
1011,2025-01-24,Catherine J.,Web Hosting,4869.64,COMPLETED ,user10@example.com,Indeed
1012,2025-01-03,Elena S.,Consulting,1455.41,COMPLETED ,user11@example.com,Microsoft 
1013,2025-01-22,Brian Omondi,Cloud Storage,1561.55,COMPLETED ,user12@example.com,
1014,2025-02-22,Brian Omondi,Consulting,,COMPLETED ,user13@example.com,Upwork
1015,2025-01-02,Alice Mwangi,Cloud Storage,2269.7,COMPLETED ,user14@example.com,Google Inc.
1016,2025-03-29,David K.,Consulting,4972.56,COMPLETED ,user15@example.com,Upwork
1017,2025-01-30,Alice Mwangi,Software License,920.83,Pending,user16@example.com,
1018,2025-02-07,David K.,Consulting,,Cancelled,user17@example.com,Upwork
1019,2025-01-02,Brian Omondi,Software License,2494.77,Pending,user18@example.com,  Amazon
1020,2025-03-05,Alice Mwangi,Software License,935.17,Completed,user19@example.com,Upwork
1021,2025-03-01,Elena S.,Consulting,999999.0,Pending,user20@example.com,Indeed
1022,2025-01-21,Catherine J.,Software License,3733.64,Completed,user21@example.com,LinkedIn
1023,2025-02-02,David K.,Web Hosting,3618.65,Pending,user22@example.com,Microsoft 
1024,2025-03-17,Catherine J.,Software License,1574.9,Cancelled,user23@example.com,google
1025,2025-02-27,Catherine J.,Cloud Storage,2735.57,Cancelled,user24@example.com,Upwork
1026,2025-01-22,Alice Mwangi,Consulting,2568.63,Completed,user25@example.com,Google Inc.
1027,2025-03-30,Catherine J.,Web Hosting,3199.85,Completed,user26@example.com,Upwork
1028,2025-02-18,Elena S.,Consulting,1289.79,Completed,user27@example.com,Google Inc.
1029,2025-02-28,Catherine J.,Cloud Storage,2969.86,Pending,user28@example.com,Indeed
1030,2025-02-11,Alice Mwangi,Cloud Storage,4895.52,Pending,user29@example.com,Google Inc.
1031,2025-03-01,Elena S.,Cloud Storage,2459.37,Completed,user30@example.com,google
1032,2025-03-21,Brian Omondi,Software License,4535.19,Cancelled,user31@example.com,LinkedIn
1033,2025-01-15,Catherine J.,Software License,2200.25,Pending,user32@example.com,Google Inc.
1034,2025-03-03,Alice Mwangi,Consulting,1782.89,Pending,user33@example.com,Google Inc.
1035,2025-03-03,Brian Omondi,Consulting,,Pending,user34@example.com,LinkedIn
1036,2025-02-16,Brian Omondi,Web Hosting,3361.17,Completed,user35@example.com,google
1037,2025-03-03,David K.,Web Hosting,4327.63,Completed,user36@example.com,Upwork
1038,2025-02-20,Elena S.,Consulting,1189.42,Completed,user37@example.com,Google Inc.
1039,2025-02-24,Catherine J.,Software License,,Completed,user38@example.com,LinkedIn
1040,2025-03-05,Alice Mwangi,Cloud Storage,2881.42,Completed,user39@example.com,
1041,2025-01-03,David K.,Consulting,3854.34,Cancelled,user40@example.com,LinkedIn
1042,2025-02-20,Elena S.,Web Hosting,265.84,Cancelled,user41@example.com,Indeed
1043,2025-01-07,David K.,Software License,4973.03,Completed,user42@example.com,google
